Año,Mes,Marca,Modelo,Tipo,Segmento,Origen,PaisOrigen,Ventas
2005,Mayo,Volkswagen ,Jetta_TDI,Automoviles,Compactos,Nacional,Mexico,0
2005,Mayo,Volkswagen ,Jetta_4_PTAS,Automoviles,Compactos,Nacional,Mexico,2290
2005,Mayo,Volkswagen ,Lupo_2_Ptas,Automoviles,Subcompactos,Importado,Brasil,133
2005,Mayo,Volkswagen ,Lupo_4_Ptas,Automoviles,Subcompactos,Importado,Brasil,680
2005,Mayo,Volkswagen ,Nuevo_Jetta,Automoviles,Compactos,Nacional,Mexico,0
2005,Mayo,Volkswagen ,Nuevo_Jetta_TDI,Automoviles,Compactos,Nacional,Mexico,0
2005,Mayo,Volkswagen ,Otros_Volkswagen,Camiones_ligeros,SUVs,Nacional,Mexico,0
2005,Mayo,Volkswagen ,Passat,Automoviles,De_Lujo,Importado,Estados_Unidos,61
2005,Mayo,Volkswagen ,Passat_Cc,Automoviles,De_Lujo,Importado,Estados_Unidos,0
2005,Mayo,Volkswagen ,Pointer_Pick_Up,Camiones_ligeros,Pick_Ups,Importado,Brasil,237
2005,Mayo,Volkswagen ,Pointer_Wagon,Automoviles,Compactos,Importado,Brasil,164
2005,Mayo,Volkswagen ,Pointer_2_Ptas,Automoviles,Subcompactos,Importado,Brasil,359
2005,Mayo,Volkswagen ,Pointer_4_Ptas,Automoviles,Subcompactos,Importado,Brasil,3151
2005,Mayo,Volkswagen ,Polo_GTI,Automoviles,Subcompactos,Importado,España,0
2005,Mayo,Volkswagen ,Polo_4_Ptas,Automoviles,Subcompactos,Importado,India,607
2005,Mayo,Volkswagen ,Polo_5_Ptas,Automoviles,Subcompactos,Importado,Brasil,61
2005,Mayo,Volkswagen ,Routan,Camiones_ligeros,Minivans,Importado,Canada,0
2005,Mayo,Volkswagen ,Saveiro,Camiones_ligeros,Pick_Ups,Importado,Brasil,0
2005,Mayo,Volkswagen ,Sedan,Automoviles,Subcompactos,Nacional,Mexico,0
2005,Mayo,Volkswagen ,Sharan,Camiones_ligeros,Minivans,Importado,Portugal,67
2005,Mayo,Volkswagen ,Sport_Van,Automoviles,Compactos,Importado,Argentina,0
2005,Mayo,Volkswagen ,Sportwagen,Automoviles,Compactos,Nacional,Mexico,0
2005,Mayo,Volkswagen ,Tcross,Camiones_ligeros,SUVs,Importado,Brasil,0
2005,Mayo,Volkswagen ,Teramont,Camiones_ligeros,SUVs,Importado,Estados_Unidos,0
2005,Mayo,Volkswagen ,Tiguan,Camiones_ligeros,SUVs,Importado,Alemania,0
2005,Mayo,Volkswagen ,Tiguan,Camiones_ligeros,SUVs,Nacional,Mexico,0
2005,Mayo,Volkswagen ,Touareg,Camiones_ligeros,SUVs,Importado,Eslovaquia,50
2005,Mayo,Volkswagen ,Transporter_Carga,Camiones_ligeros,SUVs,Importado,Alemania,0
2005,Mayo,Volkswagen ,Transporter_Pasajeros,Camiones_ligeros,SUVs,Importado,Alemania,0
2005,Mayo,Volkswagen ,UP,Automoviles,Subcompactos,Importado,Brasil,0
2005,Mayo,Volkswagen ,Vento,Automoviles,Subcompactos,Importado,India,0
2005,Mayo,Volkswagen ,Virtus,Automoviles,Subcompactos,Importado,Brasil,0
2005,Mayo,Volkswagen ,Volkswagen_Caddy,Camiones_ligeros,Pick_Ups,Importado,Polonia,0
2005,Mayo,Volkswagen ,Vw_Van,Camiones_ligeros,Pick_Ups,Importado,Argentina,111
2005,Junio,Volkswagen ,Amarok,Camiones_ligeros,Pick_Ups,Importado,Argentina,0
2005,Junio,Volkswagen ,Beetle,Automoviles,Compactos,Nacional,Mexico,163
2005,Junio,Volkswagen ,Beetle_Cabrio,Automoviles,Compactos,Nacional,Mexico,20
2005,Junio,Volkswagen ,Bora,Automoviles,Compactos,Nacional,Mexico,1470
2005,Junio,Volkswagen ,Bora_TDI,Automoviles,Compactos,Nacional,Mexico,0
2005,Junio,Volkswagen ,Crafter,Camiones_ligeros,Pick_Ups,Importado,Alemania,0
2005,Junio,Volkswagen ,Crossfox,Automoviles,Subcompactos,Importado,Brasil,0
2005,Junio,Volkswagen ,Derby,Automoviles,Subcompactos,Importado,Argentina,897
2005,Junio,Volkswagen ,EOS,Automoviles,De_Lujo,Importado,Alemania,0
2005,Junio,Volkswagen ,Eurovan_Carga,Camiones_ligeros,SUVs,Importado,Alemania,213
2005,Junio,Volkswagen ,Eurovan_Pasajeros,Camiones_ligeros,SUVs,Importado,Alemania,98
2005,Junio,Volkswagen ,Gol,Automoviles,Subcompactos,Importado,Brasil,0
2005,Junio,Volkswagen ,Gol_Sedan,Automoviles,Subcompactos,Importado,Brasil,0
2005,Junio,Volkswagen ,Golf,Automoviles,Compactos,Importado,Brasil,101
2005,Junio,Volkswagen ,Golf,Automoviles,Compactos,Nacional,Mexico,0
2005,Junio,Volkswagen ,Golf_Gti,Automoviles,Deportivos,Importado,Alemania,11
2005,Junio,Volkswagen ,Golf_Variant,Automoviles,Compactos,Nacional,Mexico,0
2005,Junio,Volkswagen ,Jetta,Automoviles,Compactos,Nacional,Mexico,0
2005,Junio,Volkswagen ,Jetta_TDI,Automoviles,Compactos,Nacional,Mexico,0
2005,Junio,Volkswagen ,Jetta_4_PTAS,Automoviles,Compactos,Nacional,Mexico,2598
2005,Junio,Volkswagen ,Lupo_2_Ptas,Automoviles,Subcompactos,Importado,Brasil,119
2005,Junio,Volkswagen ,Lupo_4_Ptas,Automoviles,Subcompactos,Importado,Brasil,566
2005,Junio,Volkswagen ,Nuevo_Jetta,Automoviles,Compactos,Nacional,Mexico,0
2005,Junio,Volkswagen ,Nuevo_Jetta_TDI,Automoviles,Compactos,Nacional,Mexico,0
2005,Junio,Volkswagen ,Otros_Volkswagen,Camiones_ligeros,SUVs,Nacional,Mexico,0
